Row,Row.Numbers,Genotype,Pedigree,Treatment,date,Canopy_Coverage
1009,1009 and 1010,A682,PI 587143,Nitrogen,Sept5,61.46402295
1009,1009 and 1010,A682,PI 587143,Nitrogen,Aug12,71.13959402
1009,1009 and 1010,A682,PI 587143,Nitrogen,Aug20,68.29012801
1009,1009 and 1010,A682,PI 587143,Nitrogen,Aug14,60.6863641
1009,1009 and 1010,A682,PI 587143,Nitrogen,Sept3,49.44327202
1009,1009 and 1010,A682,PI 587143,Nitrogen,Aug30,90.33331873
1009,1009 and 1010,A682,PI 587143,Nitrogen,Aug23,74.07452741
1009,1009 and 1010,A682,PI 587143,Nitrogen,Aug22,62.87168227
1009,1009 and 1010,A682,PI 587143,Nitrogen,Aug26,70.56409559
1009,1009 and 1010,A682,PI 587143,Nitrogen,Aug16,59.01324006
1009,1009 and 1010,A682,PI 587143,Nitrogen,Sept1,76.38786315
1009,1009 and 1010,A682,PI 587143,Nitrogen,July6,37.79725421
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Sept5,10.11403472
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Aug30,10.28543063
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Sept1,7.711603295
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Aug26,16.3095319
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Aug20,6.406647178
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Aug12,5.203954935
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Aug22,11.63523834
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Aug16,4.432204503
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Aug23,10.83411375
1011,1011 and 1012,C123,Ames 19313,Nitrogen,July6,8.849936033
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Aug14,4.383795309
1011,1011 and 1012,C123,Ames 19313,Nitrogen,Sept3,10.07273779
1013,1013 and 1014,A554,PI 587138,Nitrogen,Aug22,42.23222132
1013,1013 and 1014,A554,PI 587138,Nitrogen,Sept3,23.04963095
1013,1013 and 1014,A554,PI 587138,Nitrogen,Aug16,40.15967335
1013,1013 and 1014,A554,PI 587138,Nitrogen,Aug14,42.68372424
1013,1013 and 1014,A554,PI 587138,Nitrogen,Aug12,49.47503192
1013,1013 and 1014,A554,PI 587138,Nitrogen,Aug26,47.84230916
1013,1013 and 1014,A554,PI 587138,Nitrogen,Aug30,44.65303024
1013,1013 and 1014,A554,PI 587138,Nitrogen,Aug23,56.51979608
1013,1013 and 1014,A554,PI 587138,Nitrogen,Aug20,46.51458696
1013,1013 and 1014,A554,PI 587138,Nitrogen,Sept1,33.13250358
1013,1013 and 1014,A554,PI 587138,Nitrogen,Sept5,29.52487841
1013,1013 and 1014,A554,PI 587138,Nitrogen,July6,33.70529492
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,July6,28.44131294
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Aug22,28.64883784
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Aug23,35.12170267
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Aug12,34.58633922
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Sept5,18.05434316
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Aug14,26.19677125
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Sept1,19.20554342
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Aug26,33.47356234
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Aug30,27.52193655
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Aug16,26.83434001
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Aug20,28.29377154
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,Sept3,16.81067821
1019,1019 and 1020,F7,PI 257507,Nitrogen,Aug16,16.28948698
1019,1019 and 1020,F7,PI 257507,Nitrogen,Sept5,5.042191462
1019,1019 and 1020,F7,PI 257507,Nitrogen,Aug30,6.713970771
1019,1019 and 1020,F7,PI 257507,Nitrogen,Aug12,36.46215481
1019,1019 and 1020,F7,PI 257507,Nitrogen,Sept1,7.355292447
1019,1019 and 1020,F7,PI 257507,Nitrogen,Aug26,19.97243856
1019,1019 and 1020,F7,PI 257507,Nitrogen,Sept3,6.323581399
1019,1019 and 1020,F7,PI 257507,Nitrogen,Aug14,16.49426338
1019,1019 and 1020,F7,PI 257507,Nitrogen,July6,36.8902637
1019,1019 and 1020,F7,PI 257507,Nitrogen,Aug22,16.47400081
1019,1019 and 1020,F7,PI 257507,Nitrogen,Aug23,27.03760529
1019,1019 and 1020,F7,PI 257507,Nitrogen,Aug20,18.85786506
1021,1021 and 1022,I29,PI 686057,Nitrogen,Aug14,45.22042847
1021,1021 and 1022,I29,PI 686057,Nitrogen,Aug22,49.47714574
1021,1021 and 1022,I29,PI 686057,Nitrogen,July6,39.78423173
1021,1021 and 1022,I29,PI 686057,Nitrogen,Sept1,51.02526827
1021,1021 and 1022,I29,PI 686057,Nitrogen,Aug12,62.41580286
1021,1021 and 1022,I29,PI 686057,Nitrogen,Sept5,41.2528578
1021,1021 and 1022,I29,PI 686057,Nitrogen,Aug26,51.83520318
1021,1021 and 1022,I29,PI 686057,Nitrogen,Aug30,49.70230535
1021,1021 and 1022,I29,PI 686057,Nitrogen,Aug16,42.04939366
1021,1021 and 1022,I29,PI 686057,Nitrogen,Sept3,30.22378386
1021,1021 and 1022,I29,PI 686057,Nitrogen,Aug20,46.31675429
1021,1021 and 1022,I29,PI 686057,Nitrogen,Aug23,54.92802591
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Sept3,20.66588823
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Aug22,21.06902482
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Aug12,19.99486463
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Aug23,23.27764605
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Sept5,20.6850397
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Sept1,24.67485016
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Aug16,9.201032133
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Aug30,23.24295913
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Aug26,29.06513735
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Aug14,9.727281958
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,Aug20,13.85881864
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,July6,31.60031315
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Aug23,46.74857034
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Aug26,45.67067354
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Aug20,38.59074826
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Aug14,35.86313331
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Aug22,39.73692361
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Aug30,42.97139854
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,July6,40.90126215
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Aug16,32.64131158
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Sept3,17.70110017
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Sept5,27.58919788
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Sept1,40.51422782
1025,1025 and 1026,MS153,Ames 24734,Nitrogen,Aug12,53.11692103
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Aug12,47.93899466
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Aug23,42.23770093
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Sept3,8.200837717
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Aug30,31.07412436
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Sept5,7.898463372
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Sept1,27.04438208
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Aug14,33.28500355
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Aug16,30.37066392
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Aug22,35.07492188
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,July6,35.06979053
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Aug26,43.14139537
1027,1027 and 1028,Mt42,Ames 20140,Nitrogen,Aug20,33.97000344
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Aug16,41.95343825
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Aug23,59.07340303
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Aug26,57.8260676
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Sept3,33.09580178
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Aug20,48.59424947
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Aug30,50.4985911
1029,1029 and 1030,NC262,PI 531085,Nitrogen,July6,29.99026179
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Aug22,47.60705734
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Sept5,44.0991534
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Aug12,61.35003852
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Aug14,45.49172505
1029,1029 and 1030,NC262,PI 531085,Nitrogen,Sept1,45.38285925
1031,1031 and 1032,N192,PI 550566,Nitrogen,Aug16,26.71300429
1031,1031 and 1032,N192,PI 550566,Nitrogen,Aug12,38.26762292
1031,1031 and 1032,N192,PI 550566,Nitrogen,Sept5,16.08180571
1031,1031 and 1032,N192,PI 550566,Nitrogen,Sept3,31.12877481
1031,1031 and 1032,N192,PI 550566,Nitrogen,Sept1,19.7691624
1031,1031 and 1032,N192,PI 550566,Nitrogen,July6,40.66143476
1031,1031 and 1032,N192,PI 550566,Nitrogen,Aug22,32.20746978
1031,1031 and 1032,N192,PI 550566,Nitrogen,Aug23,37.2901764
1031,1031 and 1032,N192,PI 550566,Nitrogen,Aug14,23.55366027
1031,1031 and 1032,N192,PI 550566,Nitrogen,Aug26,37.93307912
1031,1031 and 1032,N192,PI 550566,Nitrogen,Aug30,26.43949017
1031,1031 and 1032,N192,PI 550566,Nitrogen,Aug20,27.70454332
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Aug12,26.19107079
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Aug14,16.08528785
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Aug26,26.41539504
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Sept5,19.41583184
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Sept1,19.52117005
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Aug22,24.30435078
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,July6,13.51129442
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Aug16,18.80458716
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Aug23,28.90434862
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Aug30,23.85032047
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Aug20,22.1646594
1033,1033 and 1034,Va59,Ames 19016,Nitrogen,Sept3,19.68162487
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Aug22,20.91064518
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Aug16,16.10425521
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Aug12,23.06588393
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Aug20,12.99148608
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Aug14,12.44796426
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Sept5,7.029416248
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Aug30,16.08777539
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Aug23,20.06991036
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,July6,28.8720857
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Aug26,20.8752165
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Sept3,9.145250619
1035,1035 and 1036,NC292,Ames 27142,Nitrogen,Sept1,8.379912879
1037,1037 and 1038,SD44,PI 524969,Nitrogen,July6,39.38744725
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Aug20,46.48498322
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Aug30,46.43452616
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Aug23,57.40990074
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Sept3,22.95214732
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Aug12,65.8181588
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Aug26,47.33678164
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Aug16,49.45064976
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Aug22,48.95542457
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Sept5,17.81463469
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Aug14,48.2753579
1037,1037 and 1038,SD44,PI 524969,Nitrogen,Sept1,34.12550952
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Aug26,64.13754473
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Aug12,74.05584887
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Sept1,53.28674083
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Aug23,62.71779384
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Aug16,65.00588868
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Sept3,41.5925184
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Aug14,60.98974515
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,July6,39.97403143
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Aug22,62.23337958
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Aug30,59.55937103
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Aug20,55.45320759
1039,1039 and 1040,W182B,Ames 19330,Nitrogen,Sept5,43.37531696
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Aug14,69.68748096
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Aug20,74.39476014
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Aug22,71.75957517
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Aug30,77.46893843
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,July6,36.02642684
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Aug23,75.26835503
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Sept1,71.50990285
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Sept3,63.08605341
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Aug12,76.3956061
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Aug16,68.65419766
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Aug26,72.80346299
1043,1043 and 1044,CI31A,Ames 21512,Nitrogen,Sept5,61.39696
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Aug30,24.83173463
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Sept5,10.02840476
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Sept3,18.85076434
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Aug20,12.65588218
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Aug22,20.88093326
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Aug14,10.36206721
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Aug16,14.50173321
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Aug12,17.88444019
1045,1045 and 1046,DE1,PI 606329,Nitrogen,July6,13.72324378
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Sept1,20.26203748
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Aug26,26.54617128
1045,1045 and 1046,DE1,PI 606329,Nitrogen,Aug23,17.67343093
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Aug30,40.09636021
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Sept3,29.73165219
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Aug23,50.84612604
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Sept5,16.38054066
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Sept1,28.04049764
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Aug20,47.06851842
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Aug22,48.34456763
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Aug26,55.51310926
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Aug14,39.18367347
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Aug16,47.73280317
1049,1049 and 1050,A635,Ames 19309,Nitrogen,July6,45.87195203
1049,1049 and 1050,A635,Ames 19309,Nitrogen,Aug12,63.39574327
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Aug26,61.78685347
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Aug12,63.3809703
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Sept3,48.7351766
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Sept5,43.70702914
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Aug30,66.58373848
1053,1053 and 1054,C103,Ames 19284,Nitrogen,July6,33.62853488
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Aug14,50.27312418
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Aug20,53.94939469
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Sept1,60.44509055
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Aug23,59.58691401
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Aug16,54.04893948
1053,1053 and 1054,C103,Ames 19284,Nitrogen,Aug22,57.91029518
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Sept3,55.1418869
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Sept5,52.95395658
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Aug16,63.64314386
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Sept1,59.48266256
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,July6,36.80853908
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Aug20,55.01342131
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Aug12,75.34848384
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Aug22,61.29367715
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Aug26,69.20172587
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Aug30,66.95049129
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Aug23,69.13354986
1055,1055 and 1056,F2834T,Ames 27112,Nitrogen,Aug14,59.79084171
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Aug23,60.67997506
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Sept5,45.29797287
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Aug14,45.65580262
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Sept1,54.68114714
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Aug12,53.76024875
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,July6,22.7675622
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Aug22,64.52598156
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Aug16,54.88315037
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Aug30,59.46155082
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Aug26,68.0177087
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Aug20,54.64650576
1059,1059 and 1060,Ki44,Ames 27260,Nitrogen,Sept3,52.7763554
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Sept1,69.67807639
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Aug16,64.33175189
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Sept3,54.07535164
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Aug23,69.42702537
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,July6,43.66042275
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Aug12,66.98452004
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Aug30,74.53754398
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Aug22,66.39682536
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Aug14,60.88983653
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Sept5,57.66831553
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Aug26,72.07575647
1061,1061 and 1062,NC290A,Ames 27141,Nitrogen,Aug20,66.29329902
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Aug26,79.07251988
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Aug20,71.54568511
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Aug16,77.28305953
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Aug22,75.68180044
1063,1063 and 1064,NC264,PI 520774,Nitrogen,July6,43.41295755
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Sept5,71.24329717
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Sept3,63.6970937
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Aug14,73.82231699
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Aug23,78.87744907
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Aug30,75.03540508
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Sept1,77.48607796
1063,1063 and 1064,NC264,PI 520774,Nitrogen,Aug12,76.46173273
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Aug23,46.82855736
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Aug26,52.69110792
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Sept1,33.65025564
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Aug30,37.97351554
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Aug12,36.19131701
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Aug16,37.85919268
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Aug22,43.13289538
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Aug20,38.06613589
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Aug14,34.12204285
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,July6,23.89452178
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Sept3,34.78323281
1067,1067 and 1068,NC352,Ames 27172,Nitrogen,Sept5,22.36244475
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Aug16,57.80478085
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Aug20,61.22280512
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Aug23,68.18167586
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Aug14,56.01177785
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Aug12,59.78199316
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Sept3,53.17057494
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Aug26,66.49550134
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Aug22,60.46577212
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,July6,33.19241565
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Aug30,66.3194779
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Sept5,51.61158914
1069,1069 and 1070,NC302,Ames 27147,Nitrogen,Sept1,59.52334678
1071,1071 and 1072,W22,NSL 30053,Nitrogen,Aug14,47.48542999
1071,1071 and 1072,W22,NSL 30053,Nitrogen,Aug26,61.9473942
1071,1071 and 1072,W22,NSL 30053,Nitrogen,Aug30,58.80367337
1071,1071 and 1072,W22,NSL 30053,Nitrogen,Sept3,37.56140933
1071,1071 and 1072,W22,NSL 30053,Nitrogen,Aug23,55.13240556
1071,1071 and 1072,W22,NSL 30053,Nitrogen,Sept1,49.70393808
1071,1071 and 1072,W22,NSL 30053,Nitrogen,Aug20,46.14909467
