V1,V2,da
Mt,411,8
Mt,412,2
Mt,414,4
Mt,415,2
Mt,416,1
Mt,417,2
Mt,422,2
Mt,423,2
Mt,424,4
Mt,425,2
Mt,426,4
Mt,427,4
Mt,428,4
Mt,429,5
Mt,430,2
Mt,431,6
Mt,433,2
Mt,434,2
Mt,435,2
Mt,436,2
Mt,437,2
Mt,438,1
Mt,439,2
Mt,440,4
Mt,441,1
Mt,443,2
Mt,445,2
Mt,446,3
Mt,447,4
Mt,448,2
Mt,449,2
Mt,450,2
Mt,451,6
Mt,454,4
Mt,455,2
Mt,459,4
Mt,460,4
Mt,461,2
Mt,462,1
Mt,463,4
Mt,465,4
Mt,466,2
Mt,467,2
Mt,470,2
Mt,473,2
Mt,474,6
Mt,475,4
Mt,478,2
Mt,479,4
Mt,480,4
Mt,482,2
Mt,483,2
Mt,484,2
Mt,486,2
Mt,487,1
Mt,488,2
Mt,489,2
Mt,490,2
Mt,491,4
Mt,492,2
Mt,493,3
Mt,495,2
Mt,497,2
Mt,499,4
Mt,500,1
Mt,501,2
Mt,502,2
Mt,503,1
Mt,504,4
Mt,505,6
Mt,506,5
Mt,507,2
Mt,509,1
Mt,511,2
Mt,512,2
Mt,513,2
Mt,514,4
Mt,516,4
Mt,519,4
Mt,520,1
Mt,521,4
Mt,522,4
Mt,523,2
Mt,524,3
Mt,525,5
Mt,526,7
Mt,527,2
Mt,528,4
Mt,529,2
Mt,530,2
Mt,531,2
Mt,532,2
Mt,533,4
Mt,535,2
Mt,538,2
Mt,539,2
Mt,541,2
Mt,545,4
Mt,547,4
Mt,548,2
Mt,549,6
Mt,550,1
Mt,553,4
Mt,554,1
Mt,558,4
Mt,559,1
Mt,560,2
Mt,561,4
Mt,562,1
Mt,563,1
Mt,564,6
Mt,566,2
Mt,567,6
Mt,570,1
Mt,571,2
Mt,572,4
Mt,573,4
Mt,574,4
Mt,575,1
Mt,576,4
Mt,577,1
Mt,578,1
Mt,579,6
Mt,583,4
Mt,584,2
Mt,585,2
Mt,586,2
Mt,587,2
Mt,588,4
Mt,589,2
Mt,590,1
Mt,591,5
Mt,592,4
Mt,593,6
Mt,594,4
Mt,596,4
Mt,597,4
Mt,599,4
Mt,600,4
Mt,602,2
Mt,603,1
Mt,605,2
Mt,606,6
Mt,607,2
Mt,608,2
Mt,610,3
Mt,615,4
Mt,616,4
Mt,617,2
Mt,618,2
Mt,619,5
Mt,623,2
Mt,626,4
Mt,627,2
Mt,628,2
Mt,629,2
Mt,630,5
Mt,631,6
Mt,633,4
Mt,634,4
Mt,636,2
Mt,638,1
Mt,639,4
Mt,640,2
Mt,641,2
Mt,643,2
Mt,644,2
Mt,646,2
Mt,647,4
Mt,649,2
Mt,651,8
Mt,652,1
Mt,656,2
Mt,658,8
Mt,659,1
Mt,661,2
Mt,663,4
Mt,664,4
Mt,665,2
Mt,666,2
Mt,668,2
Mt,669,4
Mt,670,4
Mt,671,1
Mt,672,10
Mt,674,2
Mt,675,2
Mt,676,2
Mt,677,4
Mt,679,4
Mt,680,2
Mt,682,4
Mt,683,1
Mt,684,2
Mt,685,2
Mt,687,1
Mt,688,2
Mt,689,2
Mt,690,2
Mt,691,3
Mt,692,2
Mt,696,4
Mt,697,4
Mt,698,4
Mt,699,2
Mt,700,4
Mt,701,2
Mt,702,4
Mt,703,2
Mt,704,2
Mt,705,4
Mt,706,2
Mt,707,1
Mt,708,4
Mt,709,6
Mt,711,4
Mt,712,2
Mt,713,2
Mt,714,4
Mt,716,2
Mt,717,2
Mt,718,2
Mt,720,4
Mt,721,4
Mt,722,2
Mt,723,2
Mt,724,2
Mt,725,2
Mt,726,4
Mt,727,2
Mt,728,5
Mt,730,7
Mt,731,1
Mt,732,2
Mt,733,2
Mt,735,1
Mt,739,4
Mt,740,2
Mt,741,4
Mt,742,1
Mt,743,1
Mt,745,4
Mt,746,3
Mt,747,4
Mt,748,4
Mt,749,2
Mt,750,4
Mt,751,4
Mt,753,2
Mt,754,7
Mt,755,2
Mt,757,2
Mt,758,1
Mt,762,2
Mt,763,4
Mt,764,2
Mt,766,6
Mt,767,7
Mt,768,7
Mt,769,4
Mt,770,5
Mt,771,4
Mt,772,2
Mt,773,4
Mt,774,5
Mt,775,4
Mt,776,4
Mt,777,2
Mt,778,2
Mt,779,2
Mt,780,1
Mt,781,6
Mt,782,2
Mt,783,2
Mt,784,1
Mt,785,1
Mt,787,1
Mt,788,1
Mt,790,1
Mt,791,2
Mt,793,1
Mt,794,4
Mt,795,6
Mt,796,2
Mt,797,2
Mt,798,4
Mt,802,2
Mt,804,2
Mt,807,2
Mt,808,4
Mt,809,7
Mt,810,2
Mt,812,2
Mt,813,1
Mt,814,2
Mt,815,4
Mt,817,2
Mt,818,2
Mt,820,2
Mt,823,2
Mt,825,2
Mt,826,2
Mt,827,5
Mt,831,1
Mt,832,2
Mt,833,1
Mt,834,1
Mt,835,4
Mt,837,4
Mt,838,3
Mt,840,2
Mt,841,1
Mt,842,4
Mt,844,2
Mt,845,6
Mt,847,2
Mt,849,2
Mt,851,4
Mt,853,4
Mt,854,4
Mt,855,1
Mt,857,1
Mt,858,1
Mt,859,2
Mt,860,2
Mt,861,1
Mt,862,2
Mt,864,2
Mt,865,2
Mt,867,2
Mt,869,2
Mt,870,4
Mt,871,4
Mt,872,2
Mt,873,4
Mt,874,4
Mt,876,2
Mt,877,2
Mt,878,2
Mt,880,1
Mt,881,4
Mt,882,2
Mt,884,1
Mt,886,4
Mt,888,1
Mt,889,2
Mt,890,6
Mt,892,2
Mt,893,2
Mt,894,3
Mt,895,4
Mt,896,3
Mt,897,4
Mt,898,1
Mt,900,2
Mt,901,4
Mt,902,6
Mt,904,2
Mt,906,2
Mt,909,5
Mt,910,1
Mt,911,2
Mt,913,3
Mt,914,5
Mt,915,1
Mt,916,2
Mt,917,4
Mt,918,2
Mt,919,1
Mt,920,1
Mt,921,2
Mt,922,2
Mt,925,3
Mt,926,6
Mt,927,1
Mt,928,2
Mt,931,3
Mt,934,2
Mt,935,4
Mt,936,3
Mt,937,4
Mt,938,1
Mt,939,3
Mt,941,2
Mt,942,2
Mt,945,3
Mt,946,1
Mt,947,2
Mt,948,1
Mt,951,6
Mt,952,4
Mt,953,1
Mt,955,4
Mt,957,4
Mt,958,1
Mt,959,2
Mt,960,2
Mt,961,2
Mt,964,4
Mt,965,2
Mt,968,2
Mt,969,2
Mt,970,2
Mt,971,2
Mt,972,4
Mt,973,2
Mt,974,4
Mt,975,2
Mt,976,1
Mt,977,2
Mt,978,4
Mt,979,2
Mt,980,2
Mt,981,6
Mt,982,2
Mt,983,2
Mt,985,4
Mt,986,5
Mt,987,1
Mt,988,4
Mt,989,4
Mt,990,2
Mt,993,2
Mt,998,2
Mt,1000,1
Mt,1001,3
Mt,1004,7
Mt,1005,2
Mt,1006,2
Mt,1007,2
Mt,1008,4
Mt,1009,1
Mt,1010,2
Mt,1011,2
Mt,1012,2
Mt,1013,6
Mt,1014,1
Mt,1015,2
Mt,1016,4
Mt,1017,4
Mt,1018,4
Mt,1020,4
Mt,1021,4
Mt,1024,2
Mt,1025,2
Mt,1027,2
Mt,1029,4
Mt,1030,2
Mt,1031,1
Mt,1032,1
Mt,1033,6
Mt,1034,4
Mt,1037,4
Mt,1038,2
Mt,1040,2
Mt,1041,4
Mt,1042,2
Mt,1045,2
Mt,1046,1
Mt,1047,8
Mt,1048,4
Mt,1050,2
Mt,1052,4
Mt,1054,6
Mt,1055,3
Mt,1056,2
Mt,1057,2
Mt,1059,4
Mt,1060,4
Mt,1061,4
Mt,1062,2
Mt,1064,4
Mt,1065,4
Mt,1066,3
Mt,1068,1
Mt,1069,2
Mt,1071,2
Mt,1072,2
Mt,1074,1
Mt,1077,6
Mt,1079,4
Mt,1080,4
Mt,1081,6
Mt,1083,8
Mt,1084,5
Mt,1085,4
Mt,1087,4
Mt,1089,1
Mt,1090,2
Mt,1094,1
Mt,1095,2
Mt,1096,1
Mt,1097,4
Mt,1098,8
Mt,1099,4
Mt,1100,2
Mt,1101,1
Mt,1102,2
Mt,1103,1
Mt,1104,4
Mt,1106,4
Mt,1108,2
Mt,1109,5
Mt,1110,4
Mt,1111,3
Mt,1112,2
Mt,1113,2
Mt,1114,4
Mt,1115,4
Mt,1116,1
Mt,1117,1
Mt,1118,2
Mt,1119,4
Mt,1120,1
Mt,1123,7
Mt,1124,1
Mt,1127,4
Mt,1128,4
Mt,1129,2
Mt,1133,2
Mt,1134,4
Mt,1135,4
Mt,1136,2
Mt,1137,4
Mt,1138,6
Mt,1139,1
Mt,1140,2
Mt,1141,2
Mt,1142,4
Mt,1143,4
Mt,1144,3
Mt,1145,4
Mt,1146,4
Mt,1147,2
Mt,1148,2
Mt,1149,4
Mt,1153,4
Mt,1155,4
Mt,1157,3
Mt,1158,4
Mt,1159,2
Mt,1160,3
Mt,1161,4
Mt,1163,2
Mt,1164,6
Mt,1165,2
Mt,1166,3
Mt,1167,2
Mt,1168,4
Mt,1170,2
Mt,1172,4
Mt,1173,2
Mt,1176,2
Mt,1177,3
Mt,1178,2
Mt,1179,5
Mt,1180,2
Mt,1181,2
Mt,1182,1
Mt,1183,2
Mt,1184,5
Mt,1187,2
Mt,1188,4
Mt,1189,2
Mt,1190,4
Mt,1191,2
Mt,1193,4
Mt,1194,2
Mt,1195,4
Mt,1196,2
Mt,1197,4
Mt,1200,2
Mt,1202,4
Mt,1203,2
Mt,1207,4
Mt,1208,2
Mt,1209,4
Mt,1212,4
Mt,1213,4
Mt,1214,4
Mt,1215,2
Mt,1216,2
Mt,1217,1
Mt,1218,4
Mt,1219,2
Mt,1221,6
Mt,1222,4
Mt,1223,5
Mt,1225,2
Mt,1229,4
Mt,1230,2
Mt,1232,4
Mt,1233,2
Mt,1234,4
Mt,1235,4
Mt,1236,2
Mt,1237,4
Mt,1238,2
Mt,1239,2
Mt,1242,6
Mt,1244,4
Mt,1245,2
Mt,1247,1
Mt,1249,4
Mt,1251,1
Mt,1252,5
Mt,1254,1
Mt,1255,1
Mt,1256,2
Mt,1257,8
Mt,1258,2
Mt,1260,1
Mt,1262,2
Mt,1263,2
Mt,1265,4
Mt,1270,2
Mt,1272,4
Mt,1273,2
Mt,1274,2
Mt,1275,2
Mt,1276,2
Mt,1277,2
Mt,1278,6
Mt,1279,2
Mt,1280,6
Mt,1283,4
Mt,1284,1
Mt,1285,1
Mt,1288,9
Mt,1289,2
Mt,1290,2
Mt,1292,4
Mt,1294,2
Mt,1295,2
Mt,1296,3
Mt,1297,2
Mt,1298,4
Mt,1299,4
Mt,1300,3
Mt,1301,3
Mt,1302,2
Mt,1303,2
Mt,1305,2
Mt,1306,1
Mt,1307,4
Mt,1309,2
Mt,1310,4
Mt,1311,1
Mt,1312,4
Mt,1315,2
Mt,1316,2
Mt,1317,4
Mt,1319,2
Mt,1321,2
Mt,1322,5
Mt,1325,3
Mt,1326,6
Mt,1331,4
Mt,1333,4
Mt,1334,2
Mt,1336,2
Mt,1337,2
Mt,1339,4
Mt,1340,4
Mt,1341,6
Mt,1343,6
Mt,1344,2
Mt,1345,2
Mt,1350,4
Mt,1351,4
Mt,1355,1
Mt,1356,1
Mt,1357,1
Mt,1359,2
Mt,1360,4
Mt,1361,4
Mt,1363,1
Mt,1364,2
Mt,1367,4
Mt,1368,4
Mt,1369,2
Mt,1370,4
Mt,1371,2
Mt,1372,2
Mt,1373,2
Mt,1374,2
Mt,1375,6
Mt,1376,7
Mt,1377,1
Mt,1380,2
Mt,1381,2
Mt,1382,2
Mt,1384,4
Mt,1385,2
Mt,1386,2
Mt,1387,2
Mt,1388,4
Mt,1389,4
Mt,1390,1
Mt,1393,4
Mt,1394,5
Mt,1395,1
Mt,1396,2
Mt,1397,6
Mt,1399,3
Mt,1400,3
Mt,1401,2
Mt,1404,2
Mt,1405,2
Mt,1406,1
Mt,1407,2
Mt,1408,4
Mt,1409,2
Mt,1410,2
Mt,1411,8
Mt,1414,4
Mt,1416,4
Mt,1417,4
Mt,1418,4
Mt,1419,1
Mt,1420,8
Mt,1422,1
Mt,1423,2
Mt,1424,2
Mt,1425,6
Mt,1426,4
Mt,1427,1
Mt,1428,4
Mt,1429,2
Mt,1430,4
Mt,1431,3
Mt,1432,4
Mt,1433,2
Mt,1434,2
Mt,1435,2
Mt,1436,2
Mt,1437,2
Mt,1438,1
Mt,1439,6
Mt,1440,2
Mt,1441,2
Mt,1442,1
Mt,1443,7
Mt,1444,4
Mt,1445,5
Mt,1446,2
Mt,1447,4
Mt,1448,6
Mt,1449,1
Mt,1450,2
Mt,1451,4
Mt,1452,2
Mt,1453,2
Mt,1455,4
Mt,1456,3
Mt,1457,2
Mt,1459,6
Mt,1460,2
Mt,1461,1
Mt,1462,4
Mt,1464,4
Mt,1465,2
Mt,1467,4
Mt,1468,2
Mt,1469,4
Mt,1470,3
Mt,1471,2
Mt,1472,2
Mt,1473,4
Mt,1474,3
Mt,1476,7
Mt,1478,2
Mt,1479,2
Mt,1480,2
Mt,1481,4
Mt,1482,1
Mt,1483,1
Mt,1484,4
Mt,1485,4
Mt,1486,1
Mt,1488,6
Mt,1490,4
Mt,1491,2
Mt,1492,2
Mt,1493,1
Mt,1494,6
Mt,1496,4
Mt,1497,6
Mt,1498,2
Mt,1499,5
Mt,1501,2
Mt,1502,5
Mt,1504,2
Mt,1505,2
Mt,1506,2
Mt,1511,2
Mt,1512,1
Mt,1513,2
Mt,1514,4
Mt,1518,4
Mt,1519,1
Mt,1520,2
Mt,1523,2
Mt,1524,2
Mt,1525,1
Mt,1526,1
Mt,1527,2
Mt,1528,4
Mt,1529,2
Mt,1530,4
Mt,1531,2
Mt,1532,9
Mt,1533,4
Mt,1534,2
Mt,1535,4
Mt,1537,2
Mt,1538,2
Mt,1539,1
Mt,1540,6
Mt,1541,4
Mt,1543,2
Mt,1545,6
Mt,1547,2
Mt,1548,4
Mt,1550,6
Mt,1551,4
Mt,1553,2
Mt,1555,8
Mt,1556,2
Mt,1557,4
Mt,1558,4
Mt,1559,3
Mt,1560,4
Mt,1561,2
Mt,1563,2
Mt,1564,1
Mt,1565,2
Mt,1566,4
Mt,1567,4
Mt,1568,2
Mt,1569,4
Mt,1570,2
Mt,1572,2
Mt,1574,2
Mt,1575,6
Mt,1576,2
Mt,1578,4
Mt,1579,8
Mt,1580,1
Mt,1581,4
Mt,1582,4
Mt,1584,2
Mt,1585,4
Mt,1586,3
Mt,1587,4
Mt,1588,6
Mt,1589,2
Mt,1590,3
Mt,1591,4
Mt,1595,4
Mt,1596,2
Mt,1597,2
Mt,1598,2
Mt,1599,2
Mt,1601,6
Mt,1604,2
Mt,1605,2
Mt,1606,2
Mt,1608,2
Mt,1609,4
Mt,1611,5
Mt,1612,1
Mt,1613,5
Mt,1615,2
Mt,1616,3
Mt,1617,2
Mt,1618,4
Mt,1619,1
Mt,1620,2
Mt,1623,4
Mt,1626,1
Mt,1628,4
Mt,1629,4
Mt,1630,4
Mt,1631,4
Mt,1634,1
Mt,1635,4
Mt,1636,1
Mt,1637,2
Mt,1638,1
Mt,1639,6
Mt,1641,5
Mt,1642,3
Mt,1643,4
Mt,1646,4
Mt,1647,2
Mt,1648,4
Mt,1650,2
Mt,1651,2
Mt,1653,2
Mt,1655,6
Mt,1656,4
Mt,1657,2
Mt,1659,2
Mt,1660,2
Mt,1661,8
Mt,1662,4
Mt,1663,2
Mt,1665,2
Mt,1666,4
Mt,1667,2
Mt,1668,1
Mt,1669,2
Mt,1671,5
Mt,1672,6
Mt,1673,1
Mt,1677,1
Mt,1678,4
Mt,1679,2
Mt,1684,4
Mt,1685,3
Mt,1686,5
Mt,1687,2
Mt,1688,2
Mt,1689,2
Mt,1690,4
Mt,1691,2
Mt,1692,6
Mt,1694,2
Mt,1697,4
Mt,1698,2
Mt,1700,4
Mt,1702,1
Mt,1703,2
Mt,1704,1
Mt,1706,1
Mt,1707,2
Mt,1709,2
Mt,1710,2
Mt,1711,2
Mt,1712,3
Mt,1713,2
Mt,1714,3
Mt,1715,2
Mt,1716,4
Mt,1718,2
Mt,1720,2
Mt,1721,4
Mt,1722,4
Mt,1724,2
Mt,1728,2
Mt,1732,1
Mt,1733,2
Mt,1736,2
Mt,1737,1
Mt,1738,2
Mt,1739,4
Mt,1740,4
Mt,1742,3
Mt,1743,2
Mt,1744,6
Mt,1745,1
Mt,1746,3
Mt,1747,6
Mt,1749,6
Mt,1750,1
Mt,1751,1
Mt,1753,3
Mt,1754,2
Mt,1756,4
Mt,1757,3
Mt,1758,2
Mt,1759,2
Mt,1760,2
Mt,1761,4
Mt,1762,2
Mt,1764,2
Mt,1765,2
Mt,1766,2
Mt,1767,2
Mt,1769,3
Mt,1770,1
Mt,1771,1
Mt,1772,2
Mt,1773,3
Mt,1775,2
Mt,1777,1
Mt,1778,1
Mt,1780,2
Mt,1781,3
Mt,1782,1
Mt,1785,2
Mt,1788,3
Mt,1789,3
Mt,1790,4
Mt,1791,2
Mt,1792,2
Mt,1793,2
Mt,1794,2
Mt,1795,2
Mt,1797,1
Mt,1798,2
Mt,1799,2
Mt,1801,1
Mt,1803,4
Mt,1805,1
Mt,1806,2
Mt,1808,2
Mt,1810,2
Mt,1812,2
Mt,1814,2
Mt,1816,2
Mt,1819,4
Mt,1820,4
Mt,1822,10
Mt,1823,1
Mt,1825,2
Mt,1826,3
Mt,1828,1
Mt,1829,4
Mt,1830,1
Mt,1831,2
Mt,1832,2
Mt,1833,2
Mt,1834,1
Mt,1836,1
Mt,1838,2
Mt,1839,1
Mt,1841,2
Mt,1842,1
Mt,1843,2
Mt,1846,2
Mt,1847,5
Mt,1848,1
Mt,1849,4
Mt,1851,2
Mt,1852,4
Mt,1853,4
Mt,1854,2
Mt,1856,2
Mt,1859,2
Mt,1861,2
Mt,1862,4
Mt,1863,6
Mt,1864,2
Mt,1866,2
Mt,1868,8
Mt,1869,5
Mt,1870,2
Mt,1871,3
Mt,1872,2
Mt,1874,1
Mt,1875,4
Mt,1876,1
Mt,1880,2
Mt,1882,2
Mt,1883,2
Mt,1884,2
Mt,1885,1
Mt,1886,2
Mt,1889,2
Mt,1890,4
Mt,1891,1
Mt,1893,2
Mt,1894,2
Mt,1896,2
Mt,1897,2
Mt,1898,4
Mt,1899,2
Mt,1901,6
Mt,1906,3
Mt,1907,2
Mt,1909,2
Mt,1910,2
Mt,1911,2
Mt,1913,4
Mt,1914,2
Mt,1915,2
Mt,1916,2
Mt,1918,2
Mt,1919,3
Mt,1920,1
Mt,1921,2
Mt,1922,3
Mt,1923,2
Mt,1925,2
Mt,1927,2
Mt,1928,2
Mt,1930,2
Mt,1932,2
Mt,1933,2
Mt,1937,2
Mt,1939,2
Mt,1940,2
Mt,1943,3
Mt,1944,2
Mt,1945,3
Mt,1947,2
Mt,1948,2
Mt,1949,4
Mt,1950,1
Mt,1951,2
Mt,1952,4
Mt,1953,1
Mt,1957,4
Mt,1958,4
Mt,1959,2
Mt,1960,2
Mt,1961,5
Mt,1962,2
Mt,1963,4
Mt,1964,1
Mt,1965,2
Mt,1968,1
Mt,1971,2
Mt,1972,2
Mt,1973,1
Mt,1975,2
Mt,1979,4
Mt,1982,2
Mt,1983,2
Mt,1984,2
Mt,1987,4
Mt,1989,1
Mt,1990,4
Mt,1991,1
Mt,1996,2
Mt,1997,2
Mt,2003,2
Mt,2005,2
Mt,2008,2
Mt,2009,2
Mt,2019,2
Mt,2023,8
Mt,2024,4
Mt,2028,2
Mt,2037,2
Mt,2040,1
Mt,2041,4
Mt,2049,1
Mt,6239,4
Mt,6247,4
Mt,6261,2
Mt,6263,2
Mt,6289,2
Mt,6316,2
Mt,6318,1
Mt,6323,2
Mt,6324,2
Mt,6331,1
Mt,6337,1
Mt,6339,2
Mt,6341,4
Mt,6344,2
Mt,6346,2
Mt,6347,1
Mt,6351,2
Mt,6352,8
Mt,6353,1
Mt,6357,2
Mt,6359,1
Mt,6363,2
Mt,6366,1
Mt,6368,2
Mt,6370,2
Mt,6372,2
Mt,6373,2
Mt,6374,2
Mt,6375,2
Mt,6377,2
Mt,6378,8
Mt,6379,2
Mt,6381,4
Mt,6382,2
Mt,6385,1
Mt,6386,3
Mt,6387,1
Mt,6388,2
Mt,6391,2
Mt,6392,2
Mt,6393,2
Mt,6396,2
Mt,6397,4
Mt,6398,4
Mt,6399,4
Mt,6400,2
Mt,6401,2
Mt,6402,4
Mt,6403,4
Mt,6405,2
Mt,6406,2
Mt,6408,2
Mt,6409,2
Mt,6412,3
Mt,6413,6
Mt,6416,2
Mt,6419,2
Mt,6421,1
Mt,6423,6
Mt,6425,2
Mt,6426,5
Mt,6427,4
Mt,6428,1
Mt,6429,4
Mt,6430,2
Mt,6432,2
Mt,6433,1
Mt,6438,2
Mt,6440,6
Mt,6442,2
Mt,6444,4
Mt,6445,2
Mt,6446,4
Mt,6447,2
Mt,6448,4
Mt,6449,8
Mt,6450,1
Mt,6453,1
Mt,6454,2
Mt,6455,2
Mt,6456,4
Mt,6458,1
Mt,6459,2
Mt,6460,2
Mt,6461,2
Mt,6463,4
Mt,6464,2
Mt,6466,2
Mt,6468,4
Mt,6469,8
Mt,6471,1
Mt,6474,2
Mt,6475,2
Mt,6476,2
Mt,6478,2
Mt,6479,2
Mt,6480,2
Mt,6481,2
Mt,6482,2
Mt,6483,2
Mt,6484,4
Mt,6486,3
Mt,6487,6
Mt,6488,2
Mt,6489,2
Mt,6490,2
Mt,6491,2
Mt,6492,2
Mt,6493,2
Mt,6494,5
Mt,6495,6
Mt,6496,2
Mt,6497,3
Mt,6498,2
Mt,6499,5
Mt,6501,3
Mt,6502,2
Mt,6503,2
Mt,6505,1
Mt,6506,2
Mt,6507,2
Mt,6508,2
Mt,6509,2
Mt,6511,2
Mt,6512,2
Mt,6513,4
Mt,6514,4
Mt,6516,4
Mt,6517,2
Mt,6518,3
Mt,6519,2
Mt,6520,2
Mt,6521,2
Mt,6522,2
Mt,6523,2
Mt,6524,4
Mt,6525,2
Mt,6526,4
Mt,6527,2
Mt,6528,4
Mt,6530,2
Mt,6531,2
Mt,6532,2
Mt,6533,2
Mt,6534,6
Mt,6535,1
Mt,6538,1
Mt,6539,2
Mt,6542,1
Mt,6543,2
Mt,6545,6
Mt,6546,5
Mt,6547,2
Mt,6549,2
Mt,6550,1
Mt,6551,2
Mt,6552,2
Mt,6553,3
Mt,6554,2
Mt,6555,4
Mt,6556,4
Mt,6558,1
Mt,6559,1
Mt,6561,5
Mt,6565,4
Mt,6566,3
Mt,6567,4
Mt,6568,5
Mt,6569,7
Mt,6570,2
Mt,6574,4
Mt,6578,2
Mt,6579,2
Mt,6580,2
Mt,6581,2
Mt,6584,2
Mt,6585,4
Mt,6587,5
Mt,6588,1
Mt,6589,2
Mt,6592,1
Mt,6594,5
Mt,6596,2
Mt,6597,2
Mt,6598,2
Mt,6599,1
Mt,6602,1
Mt,6603,3
Mt,6604,1
Mt,6605,2
Mt,6606,1
Mt,6609,5
Mt,6611,3
Mt,6612,2
Mt,6614,2
Mt,6615,1
Mt,6616,2
Mt,6617,2
Mt,6619,4
Mt,6622,1
Mt,6623,2
Mt,6624,2
Mt,6625,6
Mt,6628,4
Mt,6629,2
Mt,6631,6
Mt,6632,4
Mt,6633,2
Mt,6634,2
Mt,6636,2
Mt,6639,1
Mt,6640,4
Mt,6641,1
Mt,6642,4
Mt,6643,4
Mt,6644,2
Mt,6645,4
Mt,6646,2
Mt,6647,2
Mt,6648,2
Mt,6650,2
Mt,6652,2
Mt,6653,3
Mt,6654,2
Mt,6655,2
Mt,6657,2
Mt,6659,4
Mt,6660,2
Mt,6661,1
Mt,6662,2
Mt,6663,4
Mt,6664,2
Mt,6665,2
